location,points,years,Sentiment_Polarity,lat,lon
"Napa Valley, California, US",89.78211805555556,68.13107638888889,0.11019640924919213,38.2971367,-122.2855293
"Nevada County, California, US",87.66666666666667,23.333333333333332,0.08835046897546898,39.3540335,-120.8089843
"New York, New York, US",83.3,11.0,0.2455138888888889,40.7127281,-74.0060152
"Northern Sonoma, California, US",89.125,28.75,0.13477306547619047,38.5177297,-122.9738437
"Oakville, California, US",91.56626506024097,100.8433734939759,0.0978023623042986,38.4368549,-122.4022007
"Oregon, Oregon, US",88.22222222222223,29.95767195767196,0.16136680061999578,44.290253,-121.5502265
"Paicines, California, US",87.0,30.6,-0.04585714285714286,36.7285708,-121.2785409
"Paso Robles, California, US",89.75935828877006,40.0524064171123,0.10316889526948748,35.6267654,-120.6912456
"Placer County, California, US",87.66666666666667,31.5,0.21375771604938273,39.1012064,-120.7650606
"Puget Sound, Washington, US",85.5,17.5,0.2560763888888889,47.8331514,-122.4345806
"Ramona Valley, California, US",80.5,26.5,-0.1,33.0417112,-116.8680821
"Red Mountain, Washington, US",90.15268456375838,47.006711409395976,0.13844243039121867,46.2979123,-119.4408562
"River Junction, California, US",87.0,10.0,0.6333333333333333,33.740195549999996,-116.40974713870038
"Rockpile, California, US",89.93103448275862,48.44827586206897,0.09684934170463727,35.2053976,-116.7498696
"Rogue Valley, Oregon, US",87.02439024390245,26.079268292682926,0.13488410285916813,45.5155088,-122.65702358653778
"Russian River Valley, California, US",90.6164488854727,47.16679477325135,0.15168093247027908,38.762154,-122.9658373
"Rutherford, California, US",90.8828125,97.65625,0.09564125059100198,38.458521,-122.422479
"San Antonio Valley, California, US",88.14285714285714,23.714285714285715,0.13130385487528343,37.4101892,-76.5647172235557
"San Benito County, California, US",89.22222222222223,38.44444444444444,0.15470789241622573,36.6248089,-121.1177379
"San Diego County, California, US",91.0,52.0,0.24375000000000002,32.9637838,-116.7706277
"San Francisco Bay, California, US",88.8,44.0,0.2065362811791383,37.71402905,-122.30779415179862
"San Lucas, California, US",85.0,15.0,0.07499999999999998,36.127570500000004,-121.02108317961165
"San Luis Obispo County, California, US",91.41176470588235,37.205882352941174,0.06872472764358269,35.3540209,-120.3757163
"San Luis Obispo, California, US",89.0,27.666666666666668,0.09072971781305116,35.3540209,-120.3757163
"Santa Barbara County, California, US",90.26461538461538,37.058461538461536,0.10459556124278654,34.7136533,-119.9858232
"Santa Barbara, California, US",89.5,27.5,0.1404761904761905,34.4221319,-119.7026673
"Santa Clara County, California, US",89.5,36.5,0.04366666666666668,37.2333253,-121.6846349
"Santa Clara Valley, California, US",88.18888888888888,32.62222222222222,0.10241255812089148,37.2333253,-121.6846349
"Santa Cruz Mountains, California, US",90.85507246376811,45.45652173913044,0.1105610651808892,37.2117409,-122.0582599
"Santa Margarita Ranch, California, US",92.66666666666667,48.0,0.018981481481481485,35.39813445,-120.6136668246701
"Santa Maria Valley, California, US",91.77917981072555,44.965299684542586,0.13643359146143733,34.947792,-120.564712
"Santa Ynez Valley, California, US",89.84905660377359,36.31132075471698,0.10837384525726847,34.608637,-120.10467742149733
"Shenandoah Valley (CA), California, US",88.11392405063292,28.240506329113924,0.17093415713781898,33.7164512,-117.764666
"Sierra Foothills, California, US",88.72183098591549,28.257042253521128,0.2099162682306326,37.4086749,-121.7849645
"Snipes Mountain, Washington, US",90.16666666666667,41.770833333333336,0.1692529740706824,46.1059546,-121.460637
"Solano County, California, US",89.1,25.4,0.1805246212121212,38.2218938,-121.9163555
"Sonoma Coast, California, US",90.77265238879737,53.33113673805601,0.14381542328048877,33.569163,-117.8316265
"Sonoma County, California, US",88.62012987012987,33.701298701298704,0.11383352812625762,38.5110803,-122.8473388
"Sonoma Mountain, California, US",89.77922077922078,43.72727272727273,0.11988224802580089,38.3229698,-122.5749837
"Sonoma Valley, California, US",88.91855203619909,43.31674208144796,0.07688545077047017,38.5110803,-122.8473388
"Sonoma, California, US",83.5,30.0,0.023055555555555565,38.5110803,-122.8473388
"Sonoma-Mendocino, California, US",84.0,18.0,0.5083333333333333,39.1876388,-123.22508927175606
"Sonoma-Napa, California, US",91.66666666666667,75.0,0.10664682539682539,38.3473103,-122.5182935
"Sonoma-Napa-Lake, California, US",91.0,20.0,-0.026041666666666675,38.3473103,-122.5182935
"South Coast, California, US",88.11538461538461,37.34615384615385,0.07293706827360674,32.7469891,-117.2516124
"Southern Oregon, Oregon, US",88.29850746268657,29.71641791044776,0.12028114330686293,42.186606850000004,-122.69679025359596
"St. Helena, California, US",89.78947368421052,67.6842105263158,0.10760052224416265,38.5052288,-122.4700424
"Suisun Valley, California, US",87.0,38.333333333333336,0.10804068462401797,38.2382474,-122.040244
"Tehama County, California, US",89.0,30.0,0.1803125,40.1251334,-122.2015529
"Temecula Valley, California, US",88.56140350877193,48.39473684210526,0.09950528378379254,33.4946353,-117.1473661
"Temecula, California, US",88.4,42.1,0.08451556380127809,33.4946353,-117.1473661
"Tuolumne County, California, US",88.0,16.0,0.42333333333333345,38.056944,-119.9919351
"Umpqua Valley, Oregon, US",87.68181818181819,29.765151515151516,0.12894892548578965,43.3646201,-123.4707511
"Ventura County, California, US",87.0,21.0,-0.05863095238095238,34.4458248,-119.0779359
"Wahluke Slope, Washington, US",88.89078498293516,33.3617747440273,0.15520716521513805,46.7206936,-119.3980773
"Walla Walla Valley (WA), Washington, US",90.5125164690382,47.13702239789196,0.15939744358451552,46.0667277,-118.3393456
"Washington, Washington, US",88.71489361702127,29.22553191489362,0.19958401633473583,38.8949855,-77.0365708
"Willamette Valley, Oregon, US",89.13693560325684,37.65729089563286,0.16828526650555467,45.3442868,-122.6670374
"Yakima Valley, Washington, US",89.16486486486487,33.13108108108108,0.17424123864386323,46.601557,-120.5108421
"Yamhill County, Oregon, US",91.0,37.5,0.2620748299319728,45.2298399,-123.2180414
"Yolo County, California, US",88.19047619047619,21.61904761904762,0.17823428445452252,38.7184542,-121.9059001
"York Mountain, California, US",94.0,48.0,0.005208333333333329,35.546083,-120.8332336
"Yountville, California, US",90.91891891891892,80.54054054054055,0.11075949325949326,38.4022008,-122.3595063
